line_name,appropriation_code,appropriated_amount,original_description,line_type,explicit_project_address,source_url,source_version
168-2725. City of Creal Springs,971-42083-4900-8521,50000.00,"SECTION 2725. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2725 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF CREAL SPRINGS FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2730. Village of Freeman Spur,971-42083-4900-8621,50000.00,"SECTION 2730. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2730 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF FREEMAN SPUR FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2735. City of Hurst,971-42083-4900-8721,50000.00,"SECTION 2735. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2735 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF HURST FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2740. Village of Pittsburg,971-42083-4900-8821,50000.00,"SECTION 2740. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2740 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF PITTSBURG FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2745. Village of Spillertown,971-42083-4900-8921,50000.00,"SECTION 2745. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2745 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF SPILLERTOWN FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2750. Village of Macedonia,971-42083-4900-9021,50000.00,"SECTION 2750. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2750 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF MACEDONIA FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2780. Williamson County Emergency Management Agency,971-42083-4900-9221,75000.00,"SECTION 2780. THE SUM OF $75,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2780 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE WILLIAMSON COUNTY EMERGENCY MANAGEMENT AGENCY FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2785. West Frankfort Fire Department,971-42083-4900-9321,100000.00,"SECTION 2785. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2785 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE WEST FRANKFORT FIRE DEPARTMENT FOR THE PURPOSE OF PURCHASING A NEW FIRE TRUCK.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2790. Hamilton County Emergency Management Agency,971-42083-4900-9421,75000.00,"SECTION 2790. THE SUM OF $75,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2790 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE HAMILTON COUNTY EMERGENCY MANAGEMENT AGENCY FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2795. Village of Huntley,971-42083-4900-9521,400000.00,"SECTION 2795. THE SUM OF $400,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2795 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF HUNTLEY FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2800. Village of Carpentersville,971-42083-4900-9621,150000.00,"SECTION 2800. THE SUM OF $150,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2800 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF CARPENTERSVILLE FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2805. City of Crystal Lake,971-42083-4900-9721,300000.00,"SECTION 2805. THE SUM OF $300,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2805 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF CRYSTAL LAKE FOR WASTEWATER INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2810. Village of Gilberts,971-42083-4900-9821,75000.00,"SECTION 2810. THE SUM OF $75,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2810 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF GILBERTS FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2815. Village of West Dundee,971-42083-4900-9921,75000.00,"SECTION 2815. THE SUM OF $75,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2815 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF WEST DUNDEE FOR WATER INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2820. Village of Sleepy Hollow,971-42084-4900-0021,50000.00,"SECTION 2820. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2820 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF SLEEPY HOLLOW FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2825. Village of East Dundee,971-42084-4900-0121,50000.00,"SECTION 2825. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2825 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF EAST DUNDEE FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2830. Village of Morton,971-42084-4900-0221,50000.00,"SECTION 2830. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2830 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF MORTON FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2835. City of Washington,971-42084-4900-0321,50000.00,"SECTION 2835. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2835 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF WASHINGTON FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2840. Village of Deer Creek,971-42084-4900-0421,50000.00,"SECTION 2840. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2840 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF DEER CREEK FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2845. Village of Mackinaw,971-42084-4900-0521,50000.00,"SECTION 2845. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2845 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF MACKINAW FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2850. City of East Peoria,971-42084-4900-0621,50000.00,"SECTION 2850. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2850 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF EAST PEORIA FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2855. Village of Danvers,971-42084-4900-0721,50000.00,"SECTION 2855. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2855 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF DANVERS FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2860. Village of Stanford,971-42084-4900-0821,50000.00,"SECTION 2860. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2860 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF STANFORD FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2865. Village of McLean,971-42084-4900-0921,50000.00,"SECTION 2865. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2865 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF MCLEAN FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2870. McLean County,971-42084-4900-1021,50000.00,"SECTION 2870. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2870 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO MCLEAN COUNTY FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2875. Tazewell County,971-42084-4900-1121,50000.00,"SECTION 2875. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2875 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO TAZEWELL COUNTY FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2880. Town of Normal,971-42084-4900-1221,50000.00,"SECTION 2880. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2880 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE TOWN OF NORMAL FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2885. Township of Morton - Tazewell County,971-42084-4900-1321,50000.00,"SECTION 2885. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2885 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE TOWNSHIP OF MORTON IN TAZEWELL COUNTY FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2886. Township of Deer reek - Tazewell County,971-42084-4900-1421,50000.00,"SECTION 2886. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2886 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE TOWNSHIP OF DEER CREEK IN TAZEWELL COUNTY FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2888. Township of Washington - Tazewell County,971-42084-4900-1621,50000.00,"SECTION 2888. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2888 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE TOWNSHIP OF WASHINGTON IN TAZEWELL COUNTY FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2889. Township of Mackinaw - Tazewell County,971-42084-4900-1721,0.00,"Section 2889. The sum of $50,000 $ -0- , or so much thereof as may be necessary and remains unexpended at the close of business on June 30, 2025, from a reappropriation heretofore made for such purpose in Article 176, Section 2889 of Public Act 103-0589, as amended, is reappropriated from the Build Illinois Bond Fund to the Department of Commerce and Economic Opportunity for a grant to the Township of Mackinaw in Tazewell County for general infrastructure improvements.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2890. Township of Fondulac - Tazewell County,971-42084-4900-1821,50000.00,"SECTION 2890. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2890 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE TOWNSHIP OF FONDULAC IN TAZEWELL COUNTY FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
